iter	RMSE
345	0.297382587
346	0.2973196613
347	0.297268488
348	0.2972468473
349	0.2972335542
350	0.297214687
351	0.2971421801
352	0.2971093818
353	0.2970685866
354	0.2970320564
355	0.2969770251
356	0.2969377566
357	0.2968633218
358	0.2967813214
359	0.2967520578
360	0.2966735779
361	0.2966234742
362	0.2965674666
363	0.2965273847
364	0.2964345618
365	0.2963522669
366	0.2962842333
367	0.2962617052
368	0.2961806119
369	0.2961209632
370	0.2960860033
371	0.2960481702
372	0.2960045118
373	0.2959508426
374	0.2959304313
375	0.2959056634
376	0.2958932922
377	0.2958695837
378	0.2958461975
379	0.2957768929
380	0.2957086394
381	0.2956568393
382	0.2956054553
383	0.2955581364
384	0.2954704007
385	0.2954207007
386	0.2953730145
387	0.2953635323
388	0.295318047
389	0.2952619463
390	0.2952360631
391	0.2951863298
392	0.2951554554
393	0.2951137049
394	0.2950556808
395	0.2949918814
396	0.2949358224
397	0.2948972401
398	0.2948336122
399	0.2947585554
400	0.294678478
401	0.2946656502
402	0.294651428
403	0.2946146792
404	0.2945479504
405	0.2944873523
406	0.2944616534
407	0.2944099811
408	0.2943841753
409	0.2943223387
410	0.2942687404
411	0.29423061
412	0.2942021945
413	0.2941904533
414	0.2941360746
415	0.2941054854
416	0.2940783301
417	0.2940511469
418	0.2940206687
419	0.2939921638
420	0.2939611031
421	0.2939371782
422	0.2939127099
423	0.2938581273
424	0.2938159381
425	0.2937890708
426	0.2936969695
427	0.293688629
428	0.2936391498
429	0.2936336444
430	0.2935800805
431	0.2935439009
432	0.2935190258
433	0.2935011259
434	0.2934816846
435	0.2934043192
436	0.2933812711
437	0.2933373906
438	0.293280175
439	0.2932634371
440	0.2932114445
441	0.2931617338
442	0.2931181885
443	0.2930924182
444	0.293061405
445	0.2930121767
446	0.2929392026
447	0.2929291523
448	0.2928553721
449	0.2928113759
450	0.2927771387
451	0.2927422694
452	0.2927192032
453	0.2926668211
454	0.2926015596
455	0.2925905831
456	0.2925797687
457	0.2925391588
458	0.2924906868
459	0.2924564101
460	0.2924255047
461	0.2924204703
462	0.2923653173
463	0.2923577786
464	0.2922978854
465	0.2922505782
466	0.2922341706
467	0.2922143473
468	0.2921677539
469	0.2921142305
470	0.2920872193
471	0.2920691577
472	0.2920409262
473	0.2919726555
474	0.2919339061
475	0.2918763972
476	0.2918442434
477	0.2918018371
478	0.2917567564
479	0.2916867457
480	0.2916598209
481	0.2916399363
482	0.2915978919
483	0.2915818994
484	0.2915525093
485	0.2915397003
486	0.2915156623
487	0.2914368215
488	0.2913919795
489	0.2913501943
490	0.291306172
491	0.2912755512
492	0.2911955755
493	0.291131419
494	0.2910697871
495	0.2910548582
496	0.290998038
497	0.2909672603
498	0.2909475044
499	0.2909050208
500	0.2908629935
501	0.2908498796
502	0.2908336427
503	0.2907798327
504	0.2907518491
505	0.2906972898
506	0.2906919759
507	0.2906481629
508	0.2906126474
509	0.2905591668
510	0.2905305075
511	0.2904809629
512	0.2904395275
513	0.2903903438
514	0.2903671064
515	0.2903050417
516	0.2902762982
517	0.2902200684
518	0.2901162978
519	0.2900807338
520	0.2900168394
521	0.2899755815
522	0.2899296975
523	0.289913347
524	0.2898949884
525	0.2898897226
526	0.2898704024
527	0.2898369435
528	0.2897923044
529	0.2896896435
530	0.2896590977
531	0.2896034795
532	0.2895316782
533	0.2894638156
534	0.2894594064
535	0.2894316075
536	0.2893782986
537	0.2893349132
538	0.2892720817
539	0.2892440809
540	0.2892353467
541	0.2891602749
542	0.2891550714
543	0.2890925497
544	0.2890487803
545	0.2889910014
546	0.2889398973
547	0.2889061998
548	0.2889016013
549	0.2888636914
550	0.2888181996
551	0.2887623017
552	0.2887182467
553	0.2886846397
554	0.2886408971
555	0.2885943205
556	0.2885441082
557	0.2885307798
558	0.2885052309
559	0.2884266141
560	0.2884132634
561	0.2883884855
562	0.2883555067
563	0.2883256419
564	0.2882765406
565	0.2882312175
566	0.2881757988
567	0.288103835
568	0.2880775011
569	0.2880487117
570	0.287992736
571	0.2879611073
572	0.287931735
573	0.2879021993
574	0.2878808068
575	0.2878504641
576	0.28783594
577	0.2878039258
578	0.287780349
579	0.2877375035
580	0.2877076088
581	0.2876398988
582	0.2875781662
583	0.2875107898
584	0.287497559
585	0.2874750584
586	0.2874249454
587	0.2873840894
588	0.2873605482
589	0.2873257922
590	0.2872674839
591	0.2872598716
592	0.2872336511
593	0.2871956586
594	0.2871385205
595	0.2871068441
596	0.2870721412
597	0.2870203391
598	0.2870025365
599	0.2869899355
600	0.2869637242
601	0.2869531497
602	0.2869143369
603	0.2869113541
604	0.286902983
605	0.2869006604
606	0.2868552194
607	0.2868211404
608	0.2867974304
609	0.2867796875
610	0.2867688978
611	0.2867347793
612	0.2866850783
613	0.2866444611
614	0.2866082552
615	0.2865858465
616	0.2865455284
617	0.2865201473
618	0.2864889253
619	0.2864349661
620	0.2864145738
621	0.2863895428
622	0.2863862987
623	0.28638339
624	0.2863699571
625	0.2863615149
626	0.2863476558
627	0.286307248
628	0.2863025286
629	0.2862742179
630	0.2862371747
631	0.2862337658
632	0.286179383
633	0.2861347313
634	0.2860888835
635	0.2860352781
636	0.2860169216
637	0.2859767601
638	0.2859391036
639	0.2859073032
640	0.2858449717
641	0.2858207922
642	0.2857905641
643	0.285764608
644	0.2857104461
645	0.2856620799
646	0.2856221827
647	0.2855632765
648	0.2855118791
649	0.2854728144
650	0.2854659803
651	0.2852805413
652	0.2852465265
653	0.2852147478
654	0.2851815628
655	0.2851491417
656	0.2851407193
657	0.2850936194
658	0.2850767803
659	0.2850315512
660	0.2849900295
661	0.2849507444
662	0.2848909899
663	0.2848627961
664	0.2848076968
665	0.2847448353
666	0.2847115302
667	0.2846705748
668	0.2846571785
669	0.2846430112
670	0.2845710468
671	0.2845675604
672	0.2845453875
673	0.2845121625
674	0.2845069778
675	0.2844945424
676	0.2844135939
677	0.2843718835
678	0.2843638007
679	0.2843610867
680	0.2843450585
681	0.2843332235
682	0.284313526
683	0.2842564868
684	0.2842117814
685	0.2841801229
686	0.284126618
687	0.2841121549
688	0.2840324891
689	0.2839866
690	0.2839804385
691	0.2839706168
692	0.2839538962
693	0.2839173934
694	0.2839078217
695	0.2838866152
696	0.2838678224
697	0.2838258962
698	0.2837938072
699	0.2837796354
700	0.2837466931
701	0.2837230849
702	0.2837111757
703	0.2836766845
704	0.2836130759
705	0.2835557713
706	0.2834958122
707	0.2834802301
708	0.2834372483
709	0.283389179
710	0.2833568329
711	0.2833223141
712	0.2832685763
713	0.2832010257
714	0.2831694875
715	0.2831253366
716	0.2830890715
717	0.2830852497
718	0.283048011
719	0.2829886188
720	0.2829869871
721	0.2829614187
722	0.2828987731
723	0.2828903498
724	0.2828602304
725	0.2828234386
726	0.2827842622
727	0.2827748414
728	0.28274458
729	0.282742492
730	0.2827313197
731	0.2827002024
732	0.2826461349
733	0.2825972819
734	0.2825757316
735	0.2825546531
736	0.2825354532
737	0.2824709513
738	0.2824178641
739	0.2824134103
740	0.2823977677
741	0.282383207
742	0.2823492762
743	0.2823179235
744	0.2822552415
745	0.2822186863
746	0.2821959323
747	0.2821519281
748	0.2820930296
749	0.2820788488
750	0.2820473041
751	0.2820334809
752	0.2819943885
753	0.2819558494
754	0.2819275118
755	0.2818664004
756	0.281821209
757	0.281816886
758	0.2817914556
759	0.2816558647
760	0.2816348683
761	0.2816231391
762	0.2816019953
763	0.2815724469
764	0.2815694453
765	0.2815012196
766	0.281476135
767	0.2814257382
768	0.2813845636
769	0.2813437388
770	0.2813203929
771	0.2813072915
772	0.2812435298
773	0.2812101485
774	0.2811843677
775	0.2810967717
776	0.2810450296
777	0.2810051948
778	0.2809819189
779	0.2809291277
780	0.2809174891
781	0.2808963269
782	0.2808731064
783	0.2808527867
784	0.280850325
785	0.2807940974
786	0.2807503019
787	0.2807414321
788	0.2807289759
789	0.2806853415
790	0.2806719831
791	0.2806526502
792	0.2805897819
793	0.2805809178
794	0.280559016
795	0.2805441775
796	0.2805197581
797	0.280477181
798	0.2804451972
799	0.2804175181
800	0.2803921367
801	0.2803445455
802	0.2803056606
803	0.2802445947
804	0.2801882158
805	0.2801327013
806	0.2800873349
807	0.2800541097
808	0.2799976509
809	0.2799550152
810	0.2799234235
811	0.2799040448
812	0.2798884079
813	0.2798088979
814	0.2797813893
815	0.2797560186
816	0.2797205279
817	0.279713265
818	0.2796721173
819	0.2796290192
820	0.2795840033
821	0.2795579777
822	0.2795144218
823	0.2794463895
824	0.279446144
825	0.2794384107
826	0.2794351483
827	0.2794299257
828	0.2793951662
829	0.279378592
830	0.2793405092
831	0.279325892
832	0.2793238604
833	0.279304431
834	0.2793022492
835	0.279275102
836	0.2791946623
837	0.2791879108
838	0.2791692099
839	0.2791570325
840	0.2790690321
841	0.2790286263
842	0.2790278318
843	0.2790265978
844	0.2789580242
845	0.2789220898
846	0.2789058186
847	0.2788621988
848	0.2788388148
849	0.2787740285
850	0.2786994755
851	0.2786705158
852	0.2786299682
853	0.2786259817
854	0.2786073448
855	0.278604413
856	0.278601958
857	0.2785636768
858	0.2785144835
859	0.278469791
860	0.278426959
861	0.2784031603
862	0.2783624144
863	0.2783482991
864	0.2783286434
865	0.2782976321
866	0.2782594853
867	0.278210399
868	0.2781947316
869	0.2781853459
870	0.2781589864
871	0.2781294098
872	0.2781037578
873	0.2780561726
874	0.278017451
875	0.2779999129
876	0.2779668019
877	0.2779313006
878	0.2778948847
879	0.2778849181
880	0.2778558131
881	0.2778468661
882	0.2778062396
883	0.2778045842
884	0.2777907354
885	0.2777814872
886	0.2777595096
887	0.277745929
888	0.2777231229
889	0.2776662718
890	0.277663999
891	0.2776255099
892	0.2775940052
893	0.2775883043
894	0.2775580375
895	0.277554306
896	0.2775533234
897	0.2775326177
898	0.2775237581
899	0.2775044305
900	0.2774856198
901	0.2774563252
902	0.2774363805
903	0.2773944534
904	0.277381109
905	0.2773384515
906	0.2773059714
907	0.2772983809
908	0.2772902979
909	0.2772343715
910	0.2772191787
911	0.2771692102
912	0.2771508769
913	0.2771492642
914	0.2770950164
915	0.2770167043
916	0.2770162145
917	0.2769700892
918	0.2769426032
919	0.276918754
920	0.2768790346
921	0.2768366149
922	0.2768213135
923	0.2768094828
924	0.2767835662
925	0.2767488646
926	0.2767370481
927	0.2767128625
928	0.2766938244
929	0.2766845122
930	0.2766834576
931	0.2766579564
932	0.2766460315
933	0.2766202723
934	0.276598253
935	0.2765621487
936	0.2765460398
937	0.2765244185
938	0.276509917
939	0.2764870708
940	0.2764635514
941	0.2764620406
942	0.2764194169
943	0.2763754154
944	0.276360793
945	0.2763237793
946	0.2762873059
947	0.2762581513
948	0.2762070573
949	0.2761572864
950	0.2761035788
951	0.2760343518
952	0.2760283693
953	0.2759885032
954	0.2759325139
955	0.2758947737
956	0.2758411114
957	0.275833798
958	0.2758050853
959	0.2757697354
960	0.2757386838
961	0.2757126186
962	0.2756902758
963	0.2756638213
964	0.2756584074
965	0.2756568974
966	0.2756350886
967	0.2755947626
968	0.2755738299
969	0.2755733963
970	0.2755397724
971	0.2755388634
972	0.2755280533
973	0.2755219894
974	0.2754965252
975	0.275454341
976	0.2754058732
977	0.2753635888
978	0.2753202722
979	0.2752867169
980	0.2752250892
981	0.2751833576
982	0.2751822763
983	0.2751502761
984	0.2750846149
985	0.2750819431
986	0.2750425116
987	0.2750255396
988	0.2750206373
989	0.2750000614
990	0.2749916228
991	0.274978588
992	0.2749654234
993	0.2749233431
994	0.2748805352
995	0.274824612
996	0.274786236
997	0.2747500275
998	0.2747242387
999	0.2747093755
